Nomor_Aplikasi|NIK|NPWP|Jenis_Debitur|Nama_Debitur|Jangka_Waktu_Kredit|Interest_Rate|Plafon_Kredit|Phone_Number|Remark
L000030XWLA143251||115111999119112|B|StormCORP QRXS143251 PT|006|01475|000006000000000|6283544614617|Tanggal Akad: 24062022
L000030YKBV143251||163112421633234|B|StormCORP OXGN143251 PT|006|01475|000005000000000|6289763945262|Tanggal Akad: 24062022
L000030OS2T143251||114111181185191|B|StormCORP XIKB143251 PT|006|01475|000005000000000|6288711944484|Tanggal Akad: 24062022
L0000301ZY3143251||114191217141142|B|StormCORP IQJL143251 PT|006|01475|000005000000000|6284838988828|Tanggal Akad: 24062022
L000030GJBO143251||611145111775568|B|StormCORP IFNS143251 PT|006|01475|000006000000000|6289922549847|Tanggal Akad: 24062022
L000030QYVO143251||661621511214892|B|StormCORP TBSA143251 PT|006|01475|000006000000000|6282975747113|Tanggal Akad: 24062022
L000030MHRN143251||113119634113151|B|StormCORP EPLI143251 PT|006|01475|000005000000000|6288161984593|Tanggal Akad: 24062022
L000030ZSCY143251||116361519195143|B|StormCORP NOND143251 PT|006|01475|000006000000000|6284584941483|Tanggal Akad: 24062022
L000030EZZS143251||111171181361185|B|StormCORP AMLX143251 PT|006|01475|000005000000000|6282826898195|Tanggal Akad: 24062022
L000030AY1P143251||311871144983178|B|StormCORP DYJR143251 PT|006|01475|000005000000000|6283163279794|Tanggal Akad: 24062022
L000030ZWTH143251||266615611147341|B|StormCORP ROLV143251 PT|006|01475|000005000000000|6289399376884|Tanggal Akad: 24062022
L000030RQI1143251||412866121443361|B|StormCORP OVZK143251 PT|006|01475|000006000000000|6289675968398|Tanggal Akad: 24062022
L000030LQDF143251||951111111527161|B|StormCORP SZVY143251 PT|006|01475|000006000000000|6283279573146|Tanggal Akad: 24062022
L000030NEVX143251||629498231943115|B|StormCORP NZGC143251 PT|006|01475|000005000000000|6288158819865|Tanggal Akad: 24062022
L0000301UBX143251||719713623491361|B|StormCORP FTIW143251 PT|006|01475|000005000000000|6287956686173|Tanggal Akad: 24062022
L0000302SMC143251||824152911719811|B|StormCORP ASPZ143251 PT|006|01475|000005000000000|6286767425588|Tanggal Akad: 24062022
L000030JNX2143251||151841178694582|B|StormCORP CETZ143251 PT|006|01475|000005000000000|6283559271527|Tanggal Akad: 24062022
L000030B1PL143251||155711113522312|B|StormCORP TCJT143251 PT|006|01475|000005000000000|6286689398965|Tanggal Akad: 24062022
L000030CGLX143251||123321111338191|B|StormCORP MAJZ143251 PT|006|01475|000006000000000|6284589289726|Tanggal Akad: 24062022
L000030GZEY143251||111115116131211|B|StormCORP KDPF143251 PT|006|01475|000006000000000|6288645795819|Tanggal Akad: 24062022
