Nomor Aplikasi|Nama Debitur|Jenis Debitur|Gender Code|NIK |Nomor NPWP|Alamat|Alamat_Kelurahan|Alamat_Kecamatan|Alamat_KodePos|Alamat_KodeDATI II|Province|No Telepon |Mobile Phone Number|Email|Place Of Birth|Tanggal lahir debitur|Last Education Code|Employer|Employer Address|Mother Maiden Name|Religion|Penghasilan Kotor per Bulan|Marital Status|Nama Pasangan|Tanggal Lahir Pasangan|Perjanjian Pisah Harta|No Akte|Tanggal Berdiri|No Akte Terakhir|Tanggal Akte Terakhir|Bidang Usaha|Jangka Waktu|Jenis Kredit|Plafon|Interest Rate|Nomor PK|Tanggal Akad|Tanggal Angsuran I|Jenis Penggunaan|Sektor Ekonomi|Omzet|Go Public|Sandi Golongan Debitur|Penghasilan Kotor per Tahun|Bentuk Badan Usaha|Tempat berdiri badan usaha|Original Loan Amount|Disbursement Date|Tenor|Segmentasi Debitur|Pekerjaan|Debtor Category|Income Source|Jumlah_Tanggungan
L000030XWLA143251|StormCORP QRXS143251 PT|B|||115111999119112|Jln Bougenvile Raya 2|Kelurahan Kemuning 2|Kecamatan Amarilis 2|40614|0191|Jawa Barat|0214566387|6284793328337|StormCORP2@gmail.com|||||||||||||NO AKTE 000000011112|17081980|NO AKTE 000000011112|17081980|800000|006|P03|000006000000000|01475|PK066921|24062022|19072022|1|11110|00000016000000000|1|S14||99|Bumi Putra 2|000006000000000|22042022|006|02||UM||2
L000030YKBV143251|StormCORP OXGN143251 PT|B|||163112421633234|Jln Bougenvile Raya 3|Kelurahan Kemuning 3|Kecamatan Amarilis 3|40614|0191|Jawa Barat|0214588885|6280040681701|StormCORP3@gmail.com|||||||||||||NO AKTE 000000011113|17081980|NO AKTE 000000011113|17081980|500000|006|P07|000005000000000|01475|PK059277|24062022|19072022|1|11110|00000018000000000|1|S14||99|Bumi Putra 3|000005000000000|22042022|006|01||UM||1
L000030OS2T143251|StormCORP XIKB143251 PT|B|||114111181185191|Jln Bougenvile Raya 4|Kelurahan Kemuning 4|Kecamatan Amarilis 4|40614|0191|Jawa Barat|0214544288|6284631772482|StormCORP4@gmail.com|||||||||||||NO AKTE 000000011114|17081980|NO AKTE 000000011114|17081980|800000|006|P06|000005000000000|01475|PK083892|24062022|19072022|2|11140|00000017000000000|1|S14||99|Bumi Putra 4|000005000000000|22042022|006|01||UM||3
L0000301ZY3143251|StormCORP IQJL143251 PT|B|||114191217141142|Jln Bougenvile Raya 5|Kelurahan Kemuning 5|Kecamatan Amarilis 5|40614|0191|Jawa Barat|0214588695|6289360446358|StormCORP5@gmail.com|||||||||||||NO AKTE 000000011115|17081980|NO AKTE 000000011115|17081980|700000|006|P06|000005000000000|01475|PK022846|24062022|19072022|1|11140|00000018000000000|1|S14||99|Bumi Putra 5|000005000000000|22042022|006|04||UM||1
L000030GJBO143251|StormCORP IFNS143251 PT|B|||611145111775568|Jln Bougenvile Raya 6|Kelurahan Kemuning 6|Kecamatan Amarilis 6|40614|0191|Jawa Barat|0214514215|6281833258721|StormCORP6@gmail.com|||||||||||||NO AKTE 000000011116|17081980|NO AKTE 000000011116|17081980|500000|006|P04|000006000000000|01475|PK093836|24062022|19072022|3|11140|00000013000000000|1|S14||99|Bumi Putra 6|000006000000000|22042022|006|03||UM||4
L000030QYVO143251|StormCORP TBSA143251 PT|B|||661621511214892|Jln Bougenvile Raya 7|Kelurahan Kemuning 7|Kecamatan Amarilis 7|40614|0191|Jawa Barat|0214538865|6284304525857|StormCORP7@gmail.com|||||||||||||NO AKTE 000000011117|17081980|NO AKTE 000000011117|17081980|600000|006|P07|000006000000000|01475|PK084778|24062022|19072022|2|11130|00000019000000000|1|S14||99|Bumi Putra 7|000006000000000|22042022|006|01||UM||3
L000030MHRN143251|StormCORP EPLI143251 PT|B|||113119634113151|Jln Bougenvile Raya 8|Kelurahan Kemuning 8|Kecamatan Amarilis 8|40614|0191|Jawa Barat|0214589115|6285461974300|StormCORP8@gmail.com|||||||||||||NO AKTE 000000011118|17081980|NO AKTE 000000011118|17081980|100000|006|P02|000005000000000|01475|PK049468|24062022|19072022|1|11110|00000018000000000|1|S14||99|Bumi Putra 8|000005000000000|22042022|006|01||UM||3
L000030ZSCY143251|StormCORP NOND143251 PT|B|||116361519195143|Jln Bougenvile Raya 9|Kelurahan Kemuning 9|Kecamatan Amarilis 9|40614|0191|Jawa Barat|0214582980|6283512859986|StormCORP9@gmail.com|||||||||||||NO AKTE 000000011119|17081980|NO AKTE 000000011119|17081980|100000|006|P08|000006000000000|01475|PK054821|24062022|19072022|2|11130|00000019000000000|1|S14||99|Bumi Putra 9|000006000000000|22042022|006|02||UM||4
L000030EZZS143251|StormCORP AMLX143251 PT|B|||111171181361185|Jln Bougenvile Raya 10|Kelurahan Kemuning 10|Kecamatan Amarilis 10|40614|0191|Jawa Barat|0214539665|6285309404011|StormCORP10@gmail.com|||||||||||||NO AKTE 0000000111110|17081980|NO AKTE 0000000111110|17081980|200000|006|P09|000005000000000|01475|PK091929|24062022|19072022|1|11130|00000016000000000|1|S14||99|Bumi Putra 10|000005000000000|22042022|006|01||UM||4
L000030AY1P143251|StormCORP DYJR143251 PT|B|||311871144983178|Jln Bougenvile Raya 11|Kelurahan Kemuning 11|Kecamatan Amarilis 11|40614|0191|Jawa Barat|0214582048|6287474836027|StormCORP11@gmail.com|||||||||||||NO AKTE 0000000111111|17081980|NO AKTE 0000000111111|17081980|400000|006|P02|000005000000000|01475|PK031515|24062022|19072022|2|11140|00000012000000000|1|S14||99|Bumi Putra 11|000005000000000|22042022|006|02||UM||1
L000030ZWTH143251|StormCORP ROLV143251 PT|B|||266615611147341|Jln Bougenvile Raya 12|Kelurahan Kemuning 12|Kecamatan Amarilis 12|40614|0191|Jawa Barat|0214572766|6284503585910|StormCORP12@gmail.com|||||||||||||NO AKTE 0000000111112|17081980|NO AKTE 0000000111112|17081980|400000|006|P05|000005000000000|01475|PK083585|24062022|19072022|2|11140|00000018000000000|1|S14||99|Bumi Putra 12|000005000000000|22042022|006|01||UM||5
L000030RQI1143251|StormCORP OVZK143251 PT|B|||412866121443361|Jln Bougenvile Raya 13|Kelurahan Kemuning 13|Kecamatan Amarilis 13|40614|0191|Jawa Barat|0214534463|6282287349864|StormCORP13@gmail.com|||||||||||||NO AKTE 0000000111113|17081980|NO AKTE 0000000111113|17081980|500000|006|P01|000006000000000|01475|PK031873|24062022|19072022|2|11140|00000012000000000|1|S14||99|Bumi Putra 13|000006000000000|22042022|006|01||UM||1
L000030LQDF143251|StormCORP SZVY143251 PT|B|||951111111527161|Jln Bougenvile Raya 14|Kelurahan Kemuning 14|Kecamatan Amarilis 14|40614|0191|Jawa Barat|0214524986|6285957979622|StormCORP14@gmail.com|||||||||||||NO AKTE 0000000111114|17081980|NO AKTE 0000000111114|17081980|600000|006|P06|000006000000000|01475|PK065541|24062022|19072022|3|11110|00000016000000000|1|S14||99|Bumi Putra 14|000006000000000|22042022|006|01||UM||4
