Nomor_Aplikasi|NIK|NPWP|Jenis_Debitur|Nama_Debitur|Jangka_Waktu_Kredit|Interest_Rate|Plafon_Kredit|Phone_Number|Remark
L000004G2DN123041|3273251708952731|185119211141842|P|FoggyIDV NCSD123041|036|01025|000006000000000|6289392862564|Tanggal Akad: 27062022
L000004R12I123041|3273251708952227|144115918163121|P|FoggyIDV BJKA123041|036|01025|000005000000000|6285819369359|Tanggal Akad: 27062022
L000004T3DS123041|3273251708969657|141383931244161|P|FoggyIDV HRWQ123041|036|01025|000005000000000|6288597751455|Tanggal Akad: 27062022
L000004MNEM123041|3273251708959573|111919221547418|P|FoggyIDV TDHU123041|036|01025|000005000000000|6283285716499|Tanggal Akad: 27062022
L000004RJD3123041|3273251708908198|342571251713119|P|FoggyIDV TUNS123041|036|01025|000006000000000|6286418897959|Tanggal Akad: 27062022
L000004QEFG123041|3273251708941296|131111118186426|P|FoggyIDV DNSM123041|036|01025|000006000000000|6282798819131|Tanggal Akad: 27062022
L000004QSNS123041|3273251708976327|324111241519289|P|FoggyIDV DUMF123041|036|01025|000005000000000|6283541422782|Tanggal Akad: 27062022
L000004QWJ2123041|3273251708911584|179117256156941|P|FoggyIDV MPQS123041|036|01025|000005000000000|6285449587496|Tanggal Akad: 27062022
L000004AGEF123041|3273251708935311|115158519712411|P|FoggyIDV AWNA123041|036|01025|000005000000000|6281847418948|Tanggal Akad: 27062022
L000004EWCR123041|3273251708915299|131341151534112|P|FoggyIDV DGBB123041|036|01025|000005000000000|6288139467718|Tanggal Akad: 27062022
