Nomor Aplikasi|Nama Debitur|Jenis Debitur|Gender Code|NIK |Nomor NPWP|Alamat|Alamat_Kelurahan|Alamat_Kecamatan|Alamat_KodePos|Alamat_KodeDATI II|Province|No Telepon |Mobile Phone Number|Email|Place Of Birth|Tanggal lahir debitur|Last Education Code|Employer|Employer Address|Mother Maiden Name|Religion|Penghasilan Kotor per Bulan|Marital Status|Nama Pasangan|Tanggal Lahir Pasangan|Perjanjian Pisah Harta|No Akte|Tanggal Berdiri|No Akte Terakhir|Tanggal Akte Terakhir|Bidang Usaha|Jangka Waktu|Jenis Kredit|Plafon|Interest Rate|Nomor PK|Tanggal Akad|Tanggal Angsuran I|Jenis Penggunaan|Sektor Ekonomi|Omzet|Go Public|Sandi Golongan Debitur|Penghasilan Kotor per Tahun|Bentuk Badan Usaha|Tempat berdiri badan usaha|Original Loan Amount|Disbursement Date|Tenor|Segmentasi Debitur|Pekerjaan|Debtor Category|Income Source|Jumlah_Tanggungan
L000004G2DN123041|FoggyIDV NCSD123041|P|P|3273251708952731|185119211141842|Jln Bougenvile Raya 2|Kelurahan Kemuning 2|Kecamatan Amarilis 2|40614|0191|Jawa Barat|0857345|6282289257719|FoggyIDV2@gmail.com|Bandung|17081995|03|Company BBX|Jln Asoka 2|Maharani IS|1|00000006800000000|1|Dharma putra QH|17081990|1|||||200000|036|P01|000006000000000|01025|PK091629|27062022|25072022|2|11110|00000014000000000|1|S14|000000150000000|99|Bumi Putra 2|000006000000000|22042022|036|01|001|UM|2|2
L000004R12I123041|FoggyIDV BJKA123041|P|L|3273251708952227|144115918163121|Jln Bougenvile Raya 3|Kelurahan Kemuning 3|Kecamatan Amarilis 3|40614|0191|Jawa Barat|0890297|6286442390662|FoggyIDV3@gmail.com|Bandung|17081995|03|Company YBZ|Jln Asoka 3|Maharani IU|4|00000009900000000|1|Dharma putra YN|17081990|1|||||500000|036|P07|000005000000000|01025|PK029518|27062022|25072022|2|11130|00000014000000000|1|S14|000000150000000|99|Bumi Putra 3|000005000000000|22042022|036|04|008|UM|2|1
L000004T3DS123041|FoggyIDV HRWQ123041|P|L|3273251708969657|141383931244161|Jln Bougenvile Raya 4|Kelurahan Kemuning 4|Kecamatan Amarilis 4|40614|0191|Jawa Barat|0839594|6281480357901|FoggyIDV4@gmail.com|Bandung|17081995|04|Company BYZ|Jln Asoka 4|Maharani OW|1|00000008600000000|1|Dharma putra BI|17081990|1|||||400000|036|P06|000005000000000|01025|PK023483|27062022|25072022|2|11140|00000019000000000|1|S14|000000180000000|99|Bumi Putra 4|000005000000000|22042022|036|01|003|UM|2|4
L000004MNEM123041|FoggyIDV TDHU123041|P|P|3273251708959573|111919221547418|Jln Bougenvile Raya 5|Kelurahan Kemuning 5|Kecamatan Amarilis 5|40614|0191|Jawa Barat|0875666|6284513489055|FoggyIDV5@gmail.com|Bandung|17081995|02|Company BAC|Jln Asoka 5|Maharani AY|5|00000009800000000|1|Dharma putra PA|17081990|1|||||300000|036|P07|000005000000000|01025|PK012195|27062022|25072022|1|11130|00000017000000000|1|S14|000000130000000|99|Bumi Putra 5|000005000000000|22042022|036|01|008|UM|2|4
L000004RJD3123041|FoggyIDV TUNS123041|P|P|3273251708908198|342571251713119|Jln Bougenvile Raya 6|Kelurahan Kemuning 6|Kecamatan Amarilis 6|40614|0191|Jawa Barat|0866623|6288527398674|FoggyIDV6@gmail.com|Bandung|17081995|04|Company ZBX|Jln Asoka 6|Maharani DJ|3|00000006600000000|1|Dharma putra BB|17081990|1|||||500000|036|P06|000006000000000|01025|PK083381|27062022|25072022|3|11140|00000019000000000|1|S14|000000160000000|99|Bumi Putra 6|000006000000000|22042022|036|01|003|UM|2|2
L000004QEFG123041|FoggyIDV DNSM123041|P|P|3273251708941296|131111118186426|Jln Bougenvile Raya 7|Kelurahan Kemuning 7|Kecamatan Amarilis 7|40614|0191|Jawa Barat|0870228|6281455189783|FoggyIDV7@gmail.com|Bandung|17081995|02|Company YZX|Jln Asoka 7|Maharani OI|1|00000009700000000|1|Dharma putra XL|17081990|1|||||100000|036|P08|000006000000000|01025|PK093351|27062022|25072022|2|11130|00000015000000000|1|S14|000000140000000|99|Bumi Putra 7|000006000000000|22042022|036|02|001|UM|1|1
L000004QSNS123041|FoggyIDV DUMF123041|P|L|3273251708976327|324111241519289|Jln Bougenvile Raya 8|Kelurahan Kemuning 8|Kecamatan Amarilis 8|40614|0191|Jawa Barat|0864874|6284769064205|FoggyIDV8@gmail.com|Bandung|17081995|03|Company YCC|Jln Asoka 8|Maharani CW|4|00000006600000000|1|Dharma putra CY|17081990|1|||||400000|036|P06|000005000000000|01025|PK068581|27062022|25072022|2|11110|00000018000000000|1|S14|000000150000000|99|Bumi Putra 8|000005000000000|22042022|036|04|006|UM|2|5
L000004QWJ2123041|FoggyIDV MPQS123041|P|P|3273251708911584|179117256156941|Jln Bougenvile Raya 9|Kelurahan Kemuning 9|Kecamatan Amarilis 9|40614|0191|Jawa Barat|0832258|6285310855111|FoggyIDV9@gmail.com|Bandung|17081995|05|Company BAZ|Jln Asoka 9|Maharani CR|3|00000009600000000|1|Dharma putra HN|17081990|1|||||300000|036|P08|000005000000000|01025|PK094661|27062022|25072022|2|11110|00000013000000000|1|S14|000000150000000|99|Bumi Putra 9|000005000000000|22042022|036|03|009|UM|2|5
L000004AGEF123041|FoggyIDV AWNA123041|P|P|3273251708935311|115158519712411|Jln Bougenvile Raya 10|Kelurahan Kemuning 10|Kecamatan Amarilis 10|40614|0191|Jawa Barat|0820575|6284887740069|FoggyIDV10@gmail.com|Bandung|17081995|04|Company ABY|Jln Asoka 10|Maharani FF|1|00000009600000000|1|Dharma putra TH|17081990|1|||||200000|036|P07|000005000000000|01025|PK036693|27062022|25072022|2|11130|00000019000000000|1|S14|000000120000000|99|Bumi Putra 10|000005000000000|22042022|036|04|005|UM|2|3
L000004EWCR123041|FoggyIDV DGBB123041|P|L|3273251708915299|131341151534112|Jln Bougenvile Raya 11|Kelurahan Kemuning 11|Kecamatan Amarilis 11|40614|0191|Jawa Barat|0875778|6289284570559|FoggyIDV11@gmail.com|Bandung|17081995|04|Company CYY|Jln Asoka 11|Maharani WI|5|00000006600000000|1|Dharma putra NC|17081990|1|||||800000|036|P08|000005000000000|01025|PK087582|27062022|25072022|3|11130|00000013000000000|1|S14|000000120000000|99|Bumi Putra 11|000005000000000|22042022|036|03|008|UM|2|2
